decile,customers,avg_predicted_uplift,treated_response_rate,control_response_rate,observed_uplift
1,5000,0.016376409412991975,0.1334398721534159,0.11013215859030837,0.02330771356310754
2,5000,0.003341007600452715,0.024196747322491077,0.02379991932230738,0.0003968280001836952
3,5000,0.0013144076427675732,0.006349206349206349,0.007258064516129033,-0.0009088581669226834
4,5000,0.0005232348333082335,0.004860267314702308,0.0039510075069142635,0.0009092598077880447
5,5000,0.0001933952738788179,0.0012121212121212121,0.002772277227722772,-0.00156015601560156
6,5000,4.217055198333856e-05,0.000390625,0.000819672131147541,-0.00042904713114754096
7,5000,-7.479955019214727e-05,0.0,0.0003977724741447892,-0.0003977724741447892
8,5000,-0.0003042308602339528,0.0039603960396039604,0.00404040404040404,-8.000800080007996e-05
9,5000,-0.0011681482368993295,0.011881188118811881,0.008888888888888889,0.0029922992299229925
10,5000,-0.006612146218351542,0.06566068515497553,0.06240188383045526,0.0032588013245202704
