decile,customers,avg_predicted_uplift,treated_response_rate,control_response_rate,observed_uplift
1,5000,0.01750507813999644,0.15334685598377282,0.12662721893491125,0.026719637048861572
2,5000,0.000757937318734737,0.009654062751407884,0.011535401750198886,-0.0018813389987910028
3,5000,0.0004706490002305023,0.0008074283407347598,0.00039635354736424893,0.0004110747933705108
4,5000,0.00047020713216075266,0.00039308176100628933,0.0,0.00039308176100628933
5,5000,0.0004698626883719082,0.0,0.0008116883116883117,-0.0008116883116883117
6,5000,0.00046958972724658236,0.0,0.00040225261464199515,-0.00040225261464199515
7,5000,0.0004693120173804942,0.0016012810248198558,0.0007993605115907274,0.0008019205132291284
8,5000,0.00046891277422085625,0.0011971268954509178,0.0008019246190858059,0.0003952022763651119
9,5000,0.0004488130891232247,0.004332414336352895,0.0020316944331572532,0.0023007199031956417
10,5000,-0.0065278948036189745,0.0829623634156212,0.07908264136022143,0.0038797220553997702
